palavra,frequência,tipo,Validação,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Total,NOVO
data,193,N,TRUE,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,,FALSE
site,81,N,TRUE,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,,FALSE
member,79,N,TRUE,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,FALSE
use,72,V,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,FALSE
see,66,V,FALSE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,FALSE
know,65,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
user,61,N,TRUE,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,FALSE
research,56,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,FALSE
access,55,V,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,FALSE
dataset,50,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,FALSE
get,50,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,FALSE
information,45,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,,FALSE
administrator,39,N,TRUE,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,,TRUE
page,35,N,TRUE,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,,FALSE
project,33,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
access,30,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,FALSE
create,30,V,TRUE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,FALSE
item,30,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,FALSE
file,29,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,,FALSE
package,29,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,FALSE
find,28,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,FALSE
work,27,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
make,26,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
link,25,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,FALSE
view,25,V,TRUE,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,FALSE
collection,23,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,FALSE
ensure,23,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
repository,23,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,,FALSE
moderator,23,N,TRUE,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,,TRUE
list,22,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
list,22,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
content,21,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,FALSE
time,21,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
profile,20,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,,FALSE
start,20,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
estimate,19,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
give,19,V,TRUE,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,FALSE
publish,19,V,TRUE,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,FALSE
training,19,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
faculty,19,N,FALSE,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
application,18,N,TRUE,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,,FALSE
article,18,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
search,18,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,FALSE
share,18,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,FALSE
store,18,V,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,FALSE
version,18,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,FALSE
record,17,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,,FALSE
work,17,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
course,17,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
download,17,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,,FALSE
keep,17,V,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,FALSE
other,17,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
record,17,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,,FALSE
depositor,17,N,TRUE,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,,TRUE
link,16,V,FALSE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,FALSE
check,16,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,FALSE
event,16,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,FALSE
learn,16,V,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,FALSE
system,16,N,TRUE,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,,FALSE
