palavra,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Total,NOVO
data,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
datum,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
site,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
sited,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
sites,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
siting,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
member,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
members,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
use,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
used,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
uses,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
using,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
saw,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
see,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
seeing,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
seen,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sees,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
knew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
known,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
users,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
