palavra,frequência,tipo
use,72,V
see,66,V
know,65,V
get,47,V
create,30,V
find,28,V
make,26,V
view,25,V
ensure,23,V
start,20,V
give,19,V
publish,19,V
store,18,V
search,18,V
share,18,V
download,17,V
work,17,V
keep,17,V
learn,16,V
check,16,V
link,16,V
access,16,V
add,15,V
read,15,V
update,14,V
estimate,14,V
deposit,14,V
submit,13,V
take,13,V
understand,13,V
include,13,V
show,12,V
list,12,V
track,12,V
plan,12,V
assign,12,V
upload,12,V
provide,12,V
maintain,12,V
relate,11,V
receive,11,V
record,10,V
manage,10,V
approve,10,V
associate,10,V
register,10,V
come,10,V
schedule,9,V
sign,9,V
set,9,V
determine,9,V
integrate,9,V
delete,9,V
post,9,V
become,9,V
go,9,V
accept,8,V
validate,8,V
develop,8,V
enter,8,V
choose,8,V
appear,8,V
change,8,V
decide,7,V
edit,7,V
package,7,V
collect,7,V
allow,7,V
select,7,V
identify,6,V
import,6,V
discover,6,V
test,6,V
re,6,V
follow,6,V
generate,6,V
require,6,V
look,6,V
load,6,V
remain,6,V
charge,6,V
prepare,6,V
begin,6,V
move,5,V
-,5,V
produce,5,V
discuss,5,V
promote,5,V
connect,5,V
feel,5,V
exist,5,V
help,5,V
click,5,V
complete,5,V
digitize,5,V
modify,5,V
play,5,V
deliver,5,V
tag,5,V
review,5,V
continue,5,V
fill,4,V
notify,4,V
base,4,V
hold,4,V
cite,4,V
save,4,V
perform,4,V
apply,4,V
demonstrate,4,V
write,4,V
evaluate,4,V
encourage,4,V
pay,4,V
send,4,V
reflect,4,V
deploy,4,V
request,4,V
confirm,4,V
implement,4,V
mark,4,V
recruit,4,V
attend,4,V
preserve,4,V
stay,4,V
fix,4,V
enrol,3,V
stop,3,V
calculate,3,V
run,3,V
support,3,V
agree,3,V
protect,3,V
facilitate,3,V
indicate,3,V
intend,3,V
browse,3,V
inform,3,V
reuse,3,V
meet,3,V
present,3,V
conduct,3,V
contact,3,V
match,3,V
report,3,V
want,3,V
compare,3,V
depend,3,V
break,3,V
put,3,V
join,3,V
fail,3,V
correct,3,V
preview,3,V
fulfill,3,V
invite,3,V
overwrite,3,V
visit,3,V
copy,3,V
log,3,V
display,3,V
enroll,3,V
email,3,V
think,3,V
engage,3,V
trust,3,V
round,2,V
describe,2,V
extract,2,V
export,2,V
process,2,V
capture,2,V
own,2,V
populate,2,V
belong,2,V
result,2,V
obtain,2,V
cost,2,V
feature,2,V
remove,2,V
remember,2,V
mention,2,V
teach,2,V
reject,2,V
leave,2,V
catch,2,V
subscribe,2,V
lose,2,V
map,2,V
shop,2,V
train,2,V
reserve,2,V
interest,2,V
sponsor,2,V
forget,2,V
verify,2,V
benefit,2,V
rely,2,V
hire,2,V
embed,2,V
initiate,2,V
proceed,2,V
prepopulate,2,V
involve,2,V
prevent,2,V
recommend,2,V
improve,2,V
reference,2,V
try,2,V
organize,2,V
attach,2,V
spend,2,V
trace,2,V
account,2,V
handle,2,V
paste,2,V
install,2,V
page,2,V
derive,2,V
analyse,2,V
like,2,V
answer,2,V
limit,2,V
harvest,2,V
delegate,2,V
locate,2,V
recycle,2,V
contain,2,V
scroll,2,V
examine,1,V
mint,1,V
cover,1,V
comprise,1,V
pende,1,V
concept,1,V
place,1,V
fulfil,1,V
direct,1,V
prove,1,V
claim,1,V
live,1,V
reproduce,1,V
occur,1,V
tie,1,V
loose,1,V
certify,1,V
configure,1,V
impact,1,V
entice,1,V
practice,1,V
qualify,1,V
deal,1,V
exploit,1,V
enrich,1,V
satisfy,1,V
dictate,1,V
listen,1,V
attribute,1,V
structure,1,V
lower,1,V
entitle,1,V
tout,1,V
deactivate,1,V
happen,1,V
supply,1,V
transfer,1,V
coworke,1,V
concern,1,V
attract,1,V
translate,1,V
navigate,1,V
pin,1,V
study,1,V
converge,1,V
form,1,V
aid,1,V
information,1,V
arrange,1,V
reconfigure,1,V
finish,1,V
speak,1,V
earn,1,V
regard,1,V
retain,1,V
glance,1,V
analyze,1,V
conflict,1,V
personalize,1,V
summit,1,V
collaborate,1,V
thank,1,V
incentivize,1,V
adjust,1,V
desire,1,V
interact,1,V
draft,1,V
warn,1,V
assess,1,V
convert,1,V
unpublishe,1,V
comment,1,V
unpublish,1,V
cancel,1,V
order,1,V
house,1,V
redesign,1,V
format,1,V
retype,1,V
conform,1,V
adapt,1,V
establish,1,V
prioritize,1,V
return,1,V
showcase,1,V
ask,1,V
attendee,1,V
observe,1,V
document,1,V
curate,1,V
gain,1,V
drive,1,V
hear,1,V
tell,1,V
highlight,1,V
accommodate,1,V
re-)use,1,V
activate,1,V
respond,1,V
bore,1,V
refresh,1,V
clean,1,V
destroy,1,V
login,1,V
camper,1,V
host,1,V
build,1,V
assist,1,V
expect,1,V
say,1,V
talk,1,V
waste,1,V
insert,1,V
possible,1,V
expire,1,V
comply,1,V
figure,1,V
privilege,1,V
care,1,V
wait,1,V
rename,1,V
annotate,1,V
cache,1,V
cause,1,V
raise,1,V
reward,1,V
lock,1,V
notice,1,V
distract,1,V
bulk,1,V
consider,1,V
extend,1,V
interface,1,V
communicate,1,V
admin,1,V
convey,1,V
design,1,V
compromise,1,V
route,1,V
drop,1,V
finalize,1,V
admit,1,V
refer,1,V
mess,1,V
fund,1,V
fit,1,V
index,1,V
restore,1,V
pursue,1,V
suffer,1,V
sync,1,V
regenerate,1,V
deny,1,V
assure,1,V
skew,1,V
avoid,1,V
reach,1,V
expand,1,V
succumb,1,V
rot,1,V
troubleshoot,1,V
distribute,1,V
accord,1,V
designate,1,V
control,1,V
version,1,V
keyword,1,V
scan,1,V
tweet,1,V
replicate,1,V
classify,1,V
datum,159,N
member,85,N
site,82,N
user,77,N
researcher,70,N
data,59,N
dataset,50,N
information,45,N
administrator,39,N
camp,38,N
research,36,N
page,35,N
developer,34,N
project,33,N
item,30,N
file,29,N
package,29,N
work,27,N
visitor,26,N
collection,25,N
trainer,25,N
manager,24,N
moderator,23,N
consumer,23,N
content,23,N
repository,23,N
list,22,N
team,21,N
time,21,N
profile,20,N
anonymoususer,20,N
estimate,19,N
faculty,19,N
staff,19,N
training,19,N
date,18,N
article,18,N
version,18,N
application,18,N
other,17,N
depositor,17,N
course,17,N
sponsor,17,N
event,16,N
system,16,N
website,16,N
library,15,N
group,14,N
access,14,N
parent,14,N
metadata,13,N
session,13,N
summit,13,N
participant,13,N
designer,12,N
publisher,12,N
editor,12,N
schedule,12,N
publication,12,N
report,12,N
service,12,N
analysis,12,N
plan,12,N
job,11,N
design,11,N
visualization,11,N
integration,11,N
material,11,N
sponsorship,11,N
story,10,N
camper,10,N
account,10,N
detail,10,N
pipeline,10,N
activity,10,N
attendee,10,N
requirement,10,N
request,10,N
day,9,N
record,9,N
news,9,N
fee,9,N
section,9,N
class,9,N
image,9,N
result,9,N
form,9,N
home,9,N
type,9,N
link,9,N
level,9,N
fabs,9,N
compliance,9,N
task,9,N
field,8,N
game,8,N
submission,8,N
archive,8,N
use,8,N
authenticateduser,8,N
prototype,8,N
name,8,N
support,8,N
database,8,N
company,8,N
reuser,7,N
way,7,N
web,7,N
location,7,N
center,7,N
admin,7,N
organization,7,N
registration,7,N
one,7,N
second,7,N
author,7,N
email,7,N
case,7,N
datapackage,7,N
estimator,6,N
description,6,N
citation,6,N
registry,6,N
child,6,N
output,6,N
stakeholder,6,N
resource,6,N
people,6,N
sense,6,N
future,6,N
tool,6,N
password,6,N
change,6,N
facility,6,N
funder,6,N
feature,6,N
card,5,N
impact,5,N
process,5,N
responsibility,5,N
management,5,N
right,5,N
cost,5,N
thing,5,N
kind,5,N
workflow,5,N
badcamp,5,N
listing,5,N
ad,5,N
round,5,N
recycling,5,N
step,5,N
issue,5,N
kid,5,N
url,5,N
api,4,N
doi,4,N
point,4,N
priority,4,N
app,4,N
reference,4,N
year,4,N
room,4,N
post,4,N
status,4,N
document,4,N
question,4,N
set,4,N
quality,4,N
student,4,N
hypothesis,4,N
test,4,N
environment,4,N
waste,4,N
text,4,N
coordinator,4,N
blog,4,N
consent,4,N
paper,4,N
rule,4,N
party,4,N
recruiter,4,N
period,4,N
experience,4,N
example,4,N
title,4,N
action,4,N
usage,4,N
address,4,N
review,4,N
mind,4,N
term,4,N
attendance,4,N
spreadsheet,4,N
interview,4,N
recommendation,4,N
topic,4,N
counselor,3,N
usefulness,3,N
approval,3,N
outcome,3,N
object,3,N
owner,3,N
procedure,3,N
expertise,3,N
testing,3,N
place,3,N
style,3,N
concept,3,N
department,3,N
property,3,N
ability,3,N
number,3,N
trainingcoordinator,3,N
option,3,N
role,3,N
hearing,3,N
notification,3,N
direction,3,N
search,3,N
feedback,3,N
communication,3,N
body,3,N
script,3,N
brand,3,N
representative,3,N
csm,3,N
download,3,N
source,3,N
help,3,N
rating,3,N
node,3,N
schema,3,N
reading,3,N
person,3,N
hour,3,N
preview,3,N
photo,3,N
summary,3,N
format,3,N
clutter,3,N
picture,3,N
custom,3,N
code,3,N
behalf,3,N
medium,3,N
lot,3,N
technology,3,N
software,3,N
map,3,N
understanding,3,N
error,3,N
funding,3,N
info,3,N
interest,3,N
update,3,N
institution,3,N
view,3,N
trainee,3,N
guide,3,N
edit,2,N
leadership,2,N
librarian,2,N
worker,2,N
candidate,2,N
area,2,N
documentation,2,N
creation,2,N
slot,2,N
cris,2,N
tester,2,N
book,2,N
average,2,N
permit,2,N
embargo,2,N
problem,2,N
teaching,2,N
trust,2,N
validity,2,N
cancellation,2,N
spot,2,N
venue,2,N
answer,2,N
week,2,N
happening,2,N
feed,2,N
tag,2,N
path,2,N
derivation,2,N
line,2,N
timeline,2,N
offering,2,N
call,2,N
seat,2,N
amount,2,N
pricing,2,N
exposure,2,N
button,2,N
donor,2,N
basis,2,N
need,2,N
certification,2,N
rest,2,N
value,2,N
draw,2,N
dependency,2,N
bug,2,N
curator,2,N
identifier,2,N
attribution,2,N
off,2,N
presentation,2,N
workshop,2,N
reason,2,N
teaser,2,N
setup,2,N
minute,2,N
timer,2,N
publishing,2,N
lifecycle,2,N
response,2,N
dabs,2,N
interface,2,N
statistic,2,N
program,2,N
experiment,2,N
patron,2,N
track,2,N
storage,2,N
calendar,2,N
spending,2,N
officer,2,N
beta,2,N
security,2,N
query,2,N
functionality,2,N
analytic,2,N
superuser,2,N
concern,2,N
emergency,2,N
policy,2,N
corporatesponsor,2,N
logo,2,N
peace,2,N
function,2,N
working,2,N
decision,2,N
background,2,N
tooling,2,N
manner,2,N
range,2,N
centre,2,N
language,2,N
element,2,N
pick,2,N
proposal,2,N
office,2,N
strategy,2,N
dmp,2,N
membership,2,N
history,2,N
definition,2,N
proffer,2,N
statement,2,N
protocol,2,N
study,2,N
outreach,2,N
performance,2,N
template,2,N
entry,2,N
generation,2,N
thumbnail,2,N
recyclingfacility,2,N
payment,2,N
validation,2,N
space,2,N
school,2,N
license,2,N
scholarship,2,N
developerdatawrangler,1,N
catalog,1,N
assessment,1,N
word,1,N
pointer,1,N
catalogue,1,N
credit,1,N
-,1,N
checkin,1,N
transcript,1,N
html,1,N
charge,1,N
admission,1,N
provenance,1,N
end,1,N
target,1,N
glance,1,N
offline,1,N
maintenance,1,N
migration,1,N
donation,1,N
favorite,1,N
notice,1,N
buy,1,N
in,1,N
state,1,N
copyright,1,N
l,1,N
branding,1,N
confidentiality,1,N
outlier,1,N
slideshow,1,N
count,1,N
academia,1,N
desire,1,N
drupalist,1,N
government,1,N
transparency,1,N
commitment,1,N
wysiwyg,1,N
minimum,1,N
click,1,N
css,1,N
standard,1,N
methodology,1,N
pdf,1,N
past,1,N
know,1,N
deadline,1,N
money,1,N
comment,1,N
timezone,1,N
conversion,1,N
client,1,N
webmaster,1,N
facolitie,1,N
footprint,1,N
agenda,1,N
presenter,1,N
participation,1,N
world,1,N
attention,1,N
applicant,1,N
csp,1,N
cst,1,N
public,1,N
writing,1,N
music,1,N
artist,1,N
genre,1,N
listening,1,N
flexibility,1,N
usaspending.gov,1,N
gb,1,N
governing,1,N
agreement,1,N
landing,1,N
intro,1,N
selection,1,N
nametag,1,N
customer,1,N
credential,1,N
accrual,1,N
descriptor,1,N
hand,1,N
employer,1,N
tandem,1,N
contribution,1,N
whole,1,N
upload,1,N
order,1,N
shop,1,N
array,1,N
lib,1,N
framework,1,N
forget,1,N
opinion,1,N
association,1,N
duplication,1,N
moodboard,1,N
navigating,1,N
creator,1,N
sequence,1,N
power,1,N
drop,1,N
reconfiguration,1,N
effect,1,N
portal,1,N
reward,1,N
reset,1,N
stage,1,N
resolution,1,N
tech,1,N
interruption,1,N
permission,1,N
announcement,1,N
designation,1,N
plaintext,1,N
mockup,1,N
earth,1,N
display,1,N
planning,1,N
attendence,1,N
booking,1,N
mechanism,1,N
note,1,N
operator,1,N
size,1,N
cloud.gov,1,N
inflation,1,N
video,1,N
guideline,1,N
querying,1,N
reporting,1,N
basic,1,N
reminder,1,N
unit,1,N
parcel,1,N
condominium,1,N
recruitment,1,N
university,1,N
holding,1,N
obligation,1,N
learning,1,N
avenue,1,N
part,1,N
redesign,1,N
position,1,N
wireframe,1,N
subject,1,N
discoverability,1,N
discipline,1,N
altmetric,1,N
stat,1,N
copy,1,N
revisor,1,N
slide,1,N
board,1,N
gig,1,N
distribution,1,N
lesson,1,N
cut,1,N
searching,1,N
standardization,1,N
versioning,1,N
extension,1,N
brochure,1,N
faq,1,N
subset,1,N
extent,1,N
legalofficer,1,N
sensitivity,1,N
sharing,1,N
engineer,1,N
feasibility,1,N
scenario,1,N
indication,1,N
practitioner,1,N
index,1,N
analog,1,N
context,1,N
trend,1,N
postgraduate,1,N
programmer,1,N
running,1,N
message,1,N
sink,1,N
inquiry,1,N
scheduling,1,N
tab,1,N
stuff,1,N
archival,1,N
situation,1,N
newsletter,1,N
transaction,1,N
inspector,1,N
inspection,1,N
draft,1,N
dashboard,1,N
frontend,1,N
lab,1,N
https://data.mendeley.com/,1,N
conference,1,N
proxy,1,N
mistake,1,N
reusability,1,N
duplicate,1,N
timeslice,1,N
opportunty,1,N
reconciliation,1,N
endpoint,1,N
connection,1,N
